state,district,year,month,enrolments,growth_rate,rolling_3m
100000,100000,2025.0,2.0,1,,
100000,100000,2025.0,3.0,1,0.0,
100000,100000,2025.0,8.0,1,0.0,1.0
100000,100000,2025.0,9.0,1,0.0,1.0
100000,100000,2025.0,11.0,1,0.0,1.0
100000,100000,2025.0,12.0,1,0.0,1.0
Andaman & Nicobar Islands,Andamans,2025.0,1.0,3,,
Andaman & Nicobar Islands,Andamans,2025.0,2.0,1,-66.66666666666667,
Andaman & Nicobar Islands,Andamans,2025.0,4.0,3,200.0,2.3333333333333335
Andaman & Nicobar Islands,Andamans,2025.0,9.0,4,33.33333333333333,2.6666666666666665
Andaman & Nicobar Islands,Andamans,2025.0,11.0,3,-25.0,3.3333333333333335
Andaman & Nicobar Islands,Andamans,2025.0,12.0,1,-66.66666666666667,2.6666666666666665
Andaman & Nicobar Islands,Nicobars,2025.0,3.0,1,,
Andaman & Nicobar Islands,South Andaman,2025.0,1.0,3,,
Andaman & Nicobar Islands,South Andaman,2025.0,3.0,2,-33.333333333333336,
Andaman & Nicobar Islands,South Andaman,2025.0,4.0,2,0.0,2.3333333333333335
Andaman & Nicobar Islands,South Andaman,2025.0,5.0,1,-50.0,1.6666666666666667
Andaman & Nicobar Islands,South Andaman,2025.0,8.0,1,0.0,1.3333333333333333
Andaman & Nicobar Islands,South Andaman,2025.0,11.0,2,100.0,1.3333333333333333
Andaman & Nicobar Islands,South Andaman,2025.0,12.0,1,-50.0,1.3333333333333333
Andaman and Nicobar Islands,Nicobar,2025.0,1.0,2,,
Andaman and Nicobar Islands,Nicobar,2025.0,2.0,2,0.0,
Andaman and Nicobar Islands,Nicobar,2025.0,3.0,1,-50.0,1.6666666666666667
Andaman and Nicobar Islands,Nicobar,2025.0,4.0,1,0.0,1.3333333333333333
Andaman and Nicobar Islands,Nicobar,2025.0,8.0,1,0.0,1.0
Andaman and Nicobar Islands,Nicobar,2025.0,9.0,1,0.0,1.0
Andaman and Nicobar Islands,Nicobar,2025.0,10.0,3,200.0,1.6666666666666667
Andaman and Nicobar Islands,Nicobar,2025.0,11.0,2,-33.333333333333336,2.0
Andaman and Nicobar Islands,Nicobar,2025.0,12.0,1,-50.0,2.0
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,1.0,3,,
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,2.0,4,33.33333333333333,
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,3.0,4,0.0,3.6666666666666665
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,4.0,3,-25.0,3.6666666666666665
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,5.0,1,-66.66666666666667,2.6666666666666665
Andaman and Nicobar Islands,North And Middle Andaman,2025.0,6.0,2,100.0,2.0
